"hs-cli","zachallaun","51","https://avatars0.githubusercontent.com/u/503938?v=4","https://api.github.com/users/zachallaun","Zach Allaun"
"hs-cli","davidbalbert","2","https://avatars2.githubusercontent.com/u/123350?v=4","https://api.github.com/users/davidbalbert","David Albert"
"webstack.jl","danielmendel","63","https://avatars3.githubusercontent.com/u/304202?v=4","https://api.github.com/users/danielmendel","Daniel Espeset"
"webstack.jl","astrieanna","36","https://avatars3.githubusercontent.com/u/1205394?v=4","https://api.github.com/users/astrieanna","Leah Hanson"
"webstack.jl","zachallaun","19","https://avatars0.githubusercontent.com/u/503938?v=4","https://api.github.com/users/zachallaun","Zach Allaun"
"webstack.jl","chuckha","8","https://avatars0.githubusercontent.com/u/98927?v=4","https://api.github.com/users/chuckha","Chuck Ha"
"webstack.jl","ncollins","4","https://avatars1.githubusercontent.com/u/607298?v=4","https://api.github.com/users/ncollins","Nick Collins"
"webstack.jl","maxlikely","3","https://avatars1.githubusercontent.com/u/1237055?v=4","https://api.github.com/users/maxlikely","David"
"webstack.jl","StefanKarpinski","2","https://avatars2.githubusercontent.com/u/153596?v=4","https://api.github.com/users/StefanKarpinski","Stefan Karpinski"
"webstack.jl","jroes","1","https://avatars0.githubusercontent.com/u/27847?v=4","https://api.github.com/users/jroes","Jonathan Roes"
"blaggregator","sursh","278","https://avatars1.githubusercontent.com/u/719590?v=4","https://api.github.com/users/sursh",""
"blaggregator","punchagan","249","https://avatars0.githubusercontent.com/u/315678?v=4","https://api.github.com/users/punchagan","Puneeth Chaganti"
"blaggregator","davidbalbert","12","https://avatars2.githubusercontent.com/u/123350?v=4","https://api.github.com/users/davidbalbert","David Albert"
"blaggregator","kenyavs","10","https://avatars2.githubusercontent.com/u/1468421?v=4","https://api.github.com/users/kenyavs",""
"blaggregator","stanzheng","5","https://avatars1.githubusercontent.com/u/3683993?v=4","https://api.github.com/users/stanzheng","Stanley Zheng"
